m1,n1,m2,n2,cuda_times,lin_scale_times,cuda_average,lin_scale_average,speed_up
100.0,2.0,100.0,2.0,"[6.80819, 4.20426, 2.84877, 2.75866, 2.156]","[3.10682, 0.66528, 0.552128, 0.555008, 0.568896]",2.9919225,0.585328,5.11153148320258
100.0,4.0,100.0,4.0,"[4.48666, 2.90438, 2.3593, 4.53802, 2.63158]","[0.672896, 1.16218, 1.52166, 0.80496, 1.13469]",3.10832,1.1558725,2.6891547294359888
100.0,8.0,100.0,8.0,"[2.71798, 2.79405, 4.93504, 3.02237, 2.67059]","[1.19008, 0.681184, 0.747584, 0.782336, 0.724224]",3.3555124999999997,0.733832,4.572589502774476
100.0,16.0,100.0,16.0,"[3.50003, 5.8712, 5.1671, 3.61677, 5.74726]","[0.85024, 0.858176, 0.88064, 0.84672, 0.870272]",5.1005825,0.8639519999999999,5.903779955367891
100.0,32.0,100.0,32.0,"[5.69184, 5.90006, 5.52698, 7.53453, 5.4081]","[1.22675, 1.1935, 1.18493, 1.21936, 1.21878]",6.092417500000001,1.2041425,5.059548599937301
100.0,64.0,100.0,64.0,"[40.8147, 22.434, 27.5851, 17.4653, 18.4799]","[1.92659, 2.01178, 1.99123, 1.95405, 1.93645]",21.491075,1.9733775,10.890503717611049
100.0,2.0,200.0,2.0,"[4.23062, 2.84416, 2.49446, 2.16877, 4.74522]","[0.659456, 0.638976, 1.36544, 0.609856, 0.661792]",3.0631525,0.819016,3.740039877120838
100.0,4.0,200.0,4.0,"[2.65574, 2.92122, 3.07008, 2.88154, 2.86496]","[0.716768, 0.723104, 1.16717, 0.688256, 0.7272]",2.93445,0.8264324999999999,3.5507437086513423
100.0,8.0,200.0,8.0,"[3.15533, 5.86547, 3.13114, 3.15056, 3.23555]","[0.78768, 0.812928, 1.1393, 1.12499, 0.776192]",3.84568,0.9633525,3.9919759381950017
100.0,16.0,200.0,16.0,"[6.71184, 5.59808, 4.96893, 5.18899, 6.85142]","[1.00605, 0.990176, 0.9608, 1.31603, 1.47046]",5.651855,1.1843664999999999,4.772049023676371
100.0,32.0,200.0,32.0,"[9.02909, 9.04432, 10.5139, 8.48896, 8.63642]","[1.37018, 1.32387, 1.31072, 1.65917, 1.38774]",9.1709,1.4203750000000002,6.4566751738097325
100.0,64.0,200.0,64.0,"[31.7649, 34.943, 24.5371, 24.1138, 23.5049]","[2.05318, 2.05178, 2.14854, 2.19142, 2.12582]",26.774699999999996,2.12939,12.573882661231618
100.0,2.0,400.0,2.0,"[4.836, 4.14995, 2.95712, 2.96758, 4.69578]","[0.766464, 1.14688, 0.786336, 0.780736, 0.793152]",3.6926075000000003,0.876776,4.211574564084784
