m1,n1,m2,n2,cuda_memory,lin_scale_memory,cuda_average,lin_scale_average,memory_improvement
100.0,4.0,100.0,4.0,[46.0],[44.0],46.0,44.0,1.0454545454545454
100.0,8.0,100.0,8.0,[46.0],[44.0],46.0,44.0,1.0454545454545454
100.0,16.0,100.0,16.0,[50.0],[44.0],50.0,44.0,1.1363636363636365
200.0,4.0,200.0,4.0,[50.0],[44.0],50.0,44.0,1.1363636363636365
200.0,8.0,200.0,8.0,[52.0],[44.0],52.0,44.0,1.1818181818181819
200.0,16.0,200.0,16.0,[56.0],[44.0],56.0,44.0,1.2727272727272727
400.0,4.0,400.0,4.0,[56.0],[44.0],56.0,44.0,1.2727272727272727
400.0,8.0,400.0,8.0,[66.0],[44.0],66.0,44.0,1.5
400.0,16.0,400.0,16.0,[84.0],[44.0],84.0,44.0,1.9090909090909092
800.0,4.0,800.0,4.0,[82.0],[44.0],82.0,44.0,1.8636363636363635
800.0,8.0,800.0,8.0,[120.0],[44.0],120.0,44.0,2.727272727272727
800.0,16.0,800.0,16.0,[198.0],[44.0],198.0,44.0,4.5
1600.0,4.0,1600.0,4.0,[184.0],[44.0],184.0,44.0,4.181818181818182
1600.0,8.0,1600.0,8.0,[340.0],[44.0],340.0,44.0,7.7272727272727275
1600.0,16.0,1600.0,16.0,[652.0],[46.0],652.0,46.0,14.173913043478262
3200.0,4.0,3200.0,4.0,[594.0],[44.0],594.0,44.0,13.5
3200.0,8.0,3200.0,8.0,[1218.0],[46.0],1218.0,46.0,26.47826086956522
3200.0,16.0,3200.0,16.0,[2468.0],[48.0],2468.0,48.0,51.416666666666664
6400.0,4.0,6400.0,4.0,[2234.0],[46.0],2234.0,46.0,48.56521739130435
6400.0,8.0,6400.0,8.0,[4734.0],[48.0],4734.0,48.0,98.625
6400.0,16.0,6400.0,16.0,[7123.0],[54.0],7123.0,54.0,131.90740740740742
