m1,n1,m2,n2,cuda_times,lin_scale_times,cuda_average,lin_scale_average,speed_up
100.0,4.0,100.0,4.0,"[1.85344, 1.86675, 1.91571, 1.90362, 1.9241]","[0.176096, 0.175072, 0.177088, 0.19456, 0.177248]",1.9025450000000002,0.18099200000000001,10.511762950848656
100.0,8.0,100.0,8.0,"[2.14118, 2.37962, 2.17926, 2.14733, 2.1504]","[0.232448, 0.237568, 0.238592, 0.235264, 0.230176]",2.2141525,0.2354,9.405915463041632
100.0,16.0,100.0,16.0,"[2.70131, 2.67462, 2.69715, 2.70848, 2.74429]","[0.340992, 0.335872, 0.339968, 0.338944, 0.338944]",2.7061349999999997,0.33843200000000007,7.996096704803326
100.0,32.0,100.0,32.0,"[3.75997, 3.78368, 3.80826, 3.75622, 3.98858]","[0.55296, 0.555008, 0.550976, 0.572416, 0.561152]",3.8341849999999997,0.5598879999999999,6.848128554282285
100.0,64.0,100.0,64.0,"[11.5313, 11.0868, 12.1211, 11.2845, 10.9394]","[1.01376, 1.00454, 1.01478, 1.01274, 1.00659]",11.35795,1.0096625000000001,11.249254082428534
100.0,128.0,100.0,128.0,"[16.983, 16.8888, 16.8868, 16.8878, 16.9144]","[1.53088, 1.53264, 1.52563, 1.53085, 1.52851]",16.89445,1.5294075,11.046401956313147
200.0,4.0,200.0,4.0,"[1.46723, 1.44477, 1.46125, 1.44896, 1.49709]","[1.69062, 1.69552, 1.69267, 1.69904, 1.73875]",1.4630174999999999,1.7064949999999999,0.8573230510490801
200.0,8.0,200.0,8.0,"[2.0521, 2.1289, 1.97837, 2.00602, 1.9712]","[1.83296, 1.90259, 1.82067, 1.78774, 1.72339]",2.0211224999999997,1.8085975,1.1175081796806638
200.0,16.0,200.0,16.0,"[3.62685, 3.57664, 3.57683, 3.57965, 3.57581]","[1.84525, 1.84013, 1.83603, 1.84198, 1.88928]",3.5772325,1.8518550000000003,1.9317022661061474
200.0,32.0,200.0,32.0,"[4.96128, 4.96435, 4.94771, 4.9193, 4.92237]","[2.06746, 2.07974, 2.06848, 2.08998, 2.0745]",4.9384325,2.0781750000000003,2.3763313965378274
