m1,n1,m2,n2,cuda_times,lin_scale_times,cuda_average,lin_scale_average,speed_up
100.0,4.0,100.0,4.0,"[8.79411, 9.48838, 8.26266, 8.83814, 8.7736]","[1.17878, 1.42339, 1.13373, 1.1305, 1.13459]",8.840695,1.2055525,7.333313978445568
100.0,8.0,100.0,8.0,"[8.90163, 8.8576, 8.76237, 9.32266, 8.76634]","[1.49402, 1.45715, 1.49504, 1.43565, 1.49094]",8.9272425,1.469695,6.0742143778130835
100.0,16.0,100.0,16.0,"[11.5241, 10.5738, 12.0832, 10.6086, 9.9279]","[2.10528, 2.11558, 2.12288, 2.14931, 2.14746]",10.798375,2.1338075,5.060613480831799
100.0,32.0,100.0,32.0,"[12.7345, 12.4888, 14.0237, 13.4812, 12.7447]","[3.44659, 4.42259, 4.53018, 3.39994, 3.46192]",13.1846,3.9536574999999994,3.3347855751288527
100.0,64.0,100.0,64.0,"[23.3933, 23.6072, 23.5807, 23.72, 23.8303]","[6.02413, 7.30624, 6.03341, 7.18541, 6.05184]",23.68455,6.6442250000000005,3.564682111156681
200.0,4.0,200.0,4.0,"[7.86227, 8.4673, 8.39987, 8.32637, 8.36704]","[2.7392, 2.83238, 2.78733, 2.77613, 2.74736]",8.390145,2.7858,3.0117542537152704
200.0,8.0,200.0,8.0,"[9.09722, 8.68227, 8.60774, 8.81658, 11.1237]","[3.15059, 3.11485, 3.04848, 3.34746, 3.31651]",9.307572500000001,3.2068250000000003,2.9024260756355584
200.0,16.0,200.0,16.0,"[10.9691, 10.965, 11.5548, 11.3224, 11.4975]","[3.72349, 3.71405, 3.76115, 4.64272, 3.77571]",11.334925,3.9734075,2.852696331800854
200.0,32.0,200.0,32.0,"[13.5977, 13.6386, 14.2715, 13.4913, 16.0235]","[5.01162, 5.52528, 4.864, 5.02989, 5.2521]",14.356225,5.1678175,2.778005415245411
200.0,64.0,200.0,64.0,"[29.013, 30.9289, 30.3617, 30.1271, 28.1508]","[7.31546, 7.21126, 7.5888, 10.2553, 7.73206]",29.892125,8.196855,3.6467797710219347
400.0,4.0,400.0,4.0,"[8.35987, 7.91962, 10.0186, 8.5289, 8.29261]","[2.81088, 2.76691, 2.87539, 3.02582, 2.76173]",8.689932500000001,2.8574625,3.0411361478934547
400.0,8.0,400.0,8.0,"[9.07174, 9.70672, 9.52525, 10.3802, 9.50387]","[3.02797, 3.6608, 3.03411, 3.11299, 3.02982]",9.77901,3.2094300000000002,3.0469616100055146
400.0,16.0,400.0,16.0,"[11.8231, 11.7975, 12.2881, 12.2734, 11.8292]","[3.6137, 3.64954, 3.62816, 3.66797, 3.65056]",12.04705,3.6490575,3.3014141322793624
400.0,32.0,400.0,32.0,"[21.1229, 21.9249, 21.8092, 22.1237, 21.4405]","[4.89696, 5.43814, 6.71536, 4.85107, 4.86922]",21.824575,5.4684475,3.9910001878961077
400.0,64.0,400.0,64.0,"[41.7055, 41.7045, 41.2283, 41.8569, 41.596]","[7.41171, 7.39494, 7.48954, 7.48339, 7.37926]",41.596425,7.4367825,5.593336231091874
800.0,4.0,800.0,4.0,"[8.98269, 8.91187, 8.82061, 8.74803, 8.30259]","[2.78525, 2.75357, 2.79363, 2.75952, 2.71155]",8.695775000000001,2.7545675000000003,3.1568567479286678
800.0,8.0,800.0,8.0,"[10.6467, 10.5185, 11.2569, 11.5773, 11.0746]","[3.1295, 3.0639, 3.14858, 3.21536, 3.13117]",11.106825,3.1397525,3.537484244379135
800.0,16.0,800.0,16.0,"[21.6852, 21.5388, 21.0688, 21.3433, 21.0586]","[3.63104, 3.70074, 7.44458, 3.73248, 3.66694]",21.252375,4.636185,4.584022207914481
800.0,32.0,800.0,32.0,"[70.0989, 68.1544, 68.1491, 68.6636, 70.2536]","[4.89379, 4.91008, 4.992, 4.86106, 4.88448]",68.80517499999999,4.911905,14.007839117409638
800.0,64.0,800.0,64.0,"[121.971, 120.422, 120.403, 120.405, 120.916]","[11.3839, 11.3988, 11.3439, 11.4718, 12.4232]",120.5365,11.659425,10.338117016919789
1600.0,4.0,1600.0,4.0,"[11.3213, 11.2771, 11.2822, 11.5628, 11.4647]","[2.7921, 5.56032, 2.77616, 2.86208, 2.82854]",11.396700000000001,3.506775,3.2499091045191095
1600.0,8.0,1600.0,8.0,"[22.8425, 22.8168, 23.2232, 22.8035, 23.1988]","[3.82291, 3.81846, 3.82874, 3.85024, 3.81011]",23.010575000000003,3.8268874999999998,6.012869466374437
1600.0,16.0,1600.0,16.0,"[66.8058, 65.3292, 65.49, 66.6766, 65.0341]","[7.6585, 7.66528, 7.628, 7.67082, 7.64621]",65.632475,7.6525775,8.57651882649996
1600.0,32.0,1600.0,32.0,"[251.884, 255.826, 255.534, 255.734, 255.431]","[7.89878, 7.8848, 7.89606, 8.94976, 7.87254]",255.63125000000002,8.15079,31.362757475042297
1600.0,64.0,1600.0,64.0,"[472.574, 470.35, 466.1, 466.864, 466.625]","[10.4746, 10.6793, 10.4776, 10.4694, 11.4986]",467.48475,10.781225,43.36100489508382
